Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
465,Pratiksha,,1 (6am - 9am),S - R - G - P - d - S',S' - d - P - G - R - S,P,S,"S - R - G - R - G, P - d - S' - P - d - P - G",Audav - Audav,H,H,H,A,H,K,A,H,H,H,A,H,K,A,2.8,1,2,1,1.5,H,H,H,A,H,K,A
238,"Todi, Hussaini",Kafi,1 (6am - 9am),"S - R - M - P - D, m - P - N - S'","S' - P - D - MP, g - R - S - 'N - S or R' - n - D - P, MPDP - g, Rg - SR - 'NS",,,"R - m - PDP - g, Rg - SR - 'NS",Audav - Audav,H,H,A,B,H,H,H,H,B,K,T,H,H,B,4.1875,1,0,0,0,H,B,K,B,H,H,B
337,"Ranjani, Yash",Poorvi,7 (12am - 3am),S - r - M - P - d - S',S' - D - P - M - r - S,S,P,,Audav - Audav,H,K,A,T,H,K,A,H,K,A,T,H,H,A,3.9,7,1,2,1.5,H,K,A,T,H,B,A
317,"Todi, Gauri",Todi,3 (12pm - 3pm),S - r - g - M - d - N - S',S' - N - d - P - M - G - r - S,d,g,S rg - MdNdP - MGrG rS 'N,Shadav - Sampoorna,H,K,K,T,A,K,H,H,K,H,T,H,K,H,4.2308,3,3,4,3.5,H,K,B,T,H,K,H
59,Dev Gandhar,Asavari,2 (9am - 12pm),"S - R - m - P - d - (D)m, P - d - n - S'","S' - n - d - P - m - P - (m)g  - R  - S, R - n - S - R - G - m, P - (m)g - R - S",d,G,"m - P - d - m - P - (m)g - R - S, R - n - S - R - G - m",Shaadav - Sampoorna,H,H,A,H,H,B,K,H,H,B,H,H,K,K,3.1333,2,3,3,3,H,H,B,H,H,B,K
66,Gandhari,Asavari,2 (9am - 12pm),S - R - m - P - d - n - S',S' - n - d - n - d - P - m - g - r - S,d,g,R - m - P - d - P - n - d - S - n - d - P,Shadav - Sampoorna,H,H,A,H,H,K,K,H,K,K,H,H,K,K,3.1538,2,3,4,3.5,H,B,K,H,H,K,K
81,Jaunpuri,Asavari,2 (9am - 12pm),S - R - m - P - d - n - S',S' - n - d - P - m - g - R - S,d,g,m PdnS' nS' (n)d P mP gR S,Shadav - Sampoorna,H,H,A,H,H,K,K,H,H,K,H,H,K,K,3.0769,2,3,4,3.5,H,H,K,H,H,K,K
250,"Manjiri, Rudra",Asavari,2 (9am - 12pm),S - R - G - m - P - n - d - n - D - P - S',S' - R' - n - d - P - m - P - g - R - g - m - S,d,g,,Sampoorna - Sampoorna,H,H,H,H,H,B,K,H,H,K,H,H,K,K,3.1333,2,3,4,3.5,H,H,B,H,H,B,K
354,"Bhairavi, Adi",Asavari,2 (9am - 12pm),S - g - R - g - m - P - d - S',S' - d - P - m - P - g - R - S,D,G,,Shadav - Shadav,H,H,K,H,H,K,A,H,H,K,H,H,K,A,2.8333,2,4,3,3.5,H,H,K,H,H,K,A
185,"Zilaf, Bhairav Ang Ka",Bhairav,2 (9am - 12pm),S - r - G - m - P - d - (N)S',S' - N - d - P - d - m - P - G - m - S,d,G,S - (r)G - m - P - d - m - P - G - m/S,Sampoorna - Shadav,H,K,H,H,H,K,H,H,A,H,H,H,K,H,3.0769,2,3,3,3,H,K,H,H,H,K,H
9,"Asavari, Komal Rishabh / Komal Asavari",Bhairavi,2 (9am - 12pm),S - r - m - P - d - S',S' - r' - n - d - P - m - P - g - r - S,d,g,"mPdS' - r'nS'r'nd, mPdmP grS",Audav - Sampoorna,H,K,A,H,H,K,A,H,K,K,H,H,K,K,3.0833,2,3,4,3.5,H,K,K,H,H,K,K
176,"Todi, Bhupal / Bhoopal Todi",Bhairavi,2 (9am - 12pm),S - r - g - P - d - S',S' - d - P - g - r - S,d,g,"S - r - 'd - S, rg - rg - r - S",Audav - Audav,H,K,K,A,H,K,A,H,K,K,A,H,K,A,3.2,2,3,4,3.5,H,K,K,A,H,K,A
177,"Todi, Bilaskhani",Bhairavi,2 (9am - 12pm),S - r - g - P - d - S',S' - r' - n - d - m - g - r - S,d,g,"S' - r' - n - d, g - P - d - n - d - m - g, rgr - S",Audav - Shadav,H,K,K,A,H,K,A,H,K,K,H,A,K,K,3.3636,2,3,4,3.5,H,K,K,H,H,K,K
523,"Todi, Asavari",Bhairavi,2 (9am - 12pm),S - r - m - P - d - S',r' - n - d - m - g - r - S,d,g,r - m - P - d - m - grg - rS,Vakra,H,K,A,H,H,K,A,H,K,K,H,A,K,K,3.1818,2,3,4,3.5,H,K,K,H,H,K,K
574,Bilahari,Bilawal,2 (9am - 12pm),S - R - G - P - D - S',S' - D - n - P - m - G - R - S,D,G,GRGP S'DS' - DnP - DGP mG RS,Shadav - Audav,H,H,H,A,H,H,A,H,H,H,H,H,H,K,3.0833,2,4,3,3.5,H,H,H,H,H,H,K
333,"Hindol, Marg",Marwa,8 (3am - 6am),"S - G - M, D - N - D, S'","S' - r - N - D, M - g, P - G - S",D,G,,Audav - Sampoorna,H,A,H,T,A,H,H,H,K,B,T,H,H,H,4.1538,8,4,3,3.5,H,K,B,T,H,H,H
182,"Todi, Saheli",Todi,2 (9am - 12pm),S - r - g - P - d - S',r' - g' - r' - S' - d - n - d - P - g - r - g - r - S' - d - S,d,g,d - S - r - g - P - g - r - g - r - S - r - S - 'd,Audav - Shadav,H,K,K,A,H,K,A,H,K,K,A,H,K,K,3.3636,2,3,4,3.5,H,K,K,A,H,K,K
546,"Malavi, Subah Ki (Marawa Thaat)",Marwa,2 (9am - 12pm),S - G - P - M - D - S',S' - D - M - G - P - G - r - S,S,P,S - G - P - D - M - G - P - G - r - S,Vakra,H,A,H,T,H,H,A,H,K,H,T,H,H,A,3.6364,2,1,2,1.5,H,K,H,T,H,H,A
569,Barari / Varati,Marwa,4 (3pm - 6pm),S - 'NrG - r - G - P - M - D - S',S' - Nr' - N - D - MG - P - G - r - S,G,D,SP - Gr GP - MD S' - r' NDP - GrS,Shadav - Sampoorna,H,K,H,T,H,H,H,H,K,H,T,H,H,H,4.1429,4,3,4,3.5,H,K,H,T,H,H,H
16,"Bahar, Hindol",,2 (9am - 12pm),"S - G - M - G, m - P - g - m - n -, D - S'","S - R' - NS' - n - P - m - P - g - m, S' - D - M - G, M - G - S",D,G,gm n-DNS' - DM - GM G - S,Mishra/Sankeerna,H,A,B,B,H,H,K,H,H,B,B,H,H,B,3.7222,2,4,3,3.5,H,H,B,B,H,H,B
279,Naat Kuranjika,Khamaaj,2 (9am - 12pm),"n - S, G - m, D - n - S'","R - n - S' - D - m, G - m - r - S",S,m,,Shadav - Shadav,H,A,H,H,A,H,K,H,B,H,H,A,H,K,3.4167,2,1,2,1.5,H,B,H,H,A,H,K
237,"Bilawal, Sukhiya / Sawani Bilawal",Bilawal,2 (9am - 12pm),S - G - m - P - N - DNS',"S' - (N)D - nDP, mP - G, RS",G,N,S - G - mP - mP - G - RS,Shadav - Sampoorna,H,A,H,H,H,H,H,H,H,H,H,H,H,B,3.2857,2,3,6,4.5,H,H,H,H,H,H,B
538,Shankara Karan,Bilawal,2 (9am - 12pm),S - G - P - N - D - N - S',S' - N - D - P - D - m - G - P - (G)R - S,G,N,PNDS' N - (D)P - (M)PDmGP - GP - GPRG RS,Vakra,H,A,H,A,H,H,H,H,H,H,H,H,H,H,3.25,2,3,6,4.5,H,H,H,H,H,H,H
539,Shankara Baran,Bilawal,2 (9am - 12pm),N - S - m - G - P - MP - GmG - P - N - D - N - S',S' - N - D - P - G - P - (G) R - S,G,N,GP RG RS - 'NS mG - P - GmG,Mishra/Sankeerna,H,A,H,B,H,H,H,H,H,H,A,H,H,H,3.5385,2,3,6,4.5,H,H,H,B,H,H,H
537,Shankara Aran,Kalyan,2 (9am - 12pm),S - G - P - N - D - N - S',S' - N - D - P - G - S - G - m - D - N - D - P - G - P - (G)R - S,G,N,PNDS' N - (D)P - GmDNDP - GP RG RS,Vakra,H,A,H,A,H,H,H,H,H,H,H,H,H,H,3.25,2,3,6,4.5,H,H,H,H,H,H,H
163,"Sarang, Madhamaad / Madhyamaadi Sarang / Madhamat Sarang",Kafi,2 (9am - 12pm),S - R - m - P - n - S',S' - n - P - m - R - R - 'n - S,R,P,"nSRPm - R 'nRS, mPnP mR mRS'n S",Audav - Audav,H,H,A,H,H,A,K,H,H,A,H,H,A,K,3,2,5,2,3.5,H,H,A,H,H,A,K
290,"Sarang, Miyan Ki / Tanseni Sarang / Vrindavani Malhar",Kafi,2 (9am - 12pm),"n'D - 'N - S, R, P - D - N - S'","S', nDNS' - n - P, m - R - S",R,P,RmPn mP mR P - nDNS' nPmR 'NS,Audav - Shadav,H,H,A,A,H,H,B,H,H,A,H,H,H,B,3.6923,2,5,2,3.5,H,H,A,H,H,H,B
339,Rakta Hauns,Kafi,2 (9am - 12pm),S - R - m - P - D - S',S' - n - P - m - R - S,R,P,,Audav - Audav,H,H,A,H,H,H,A,H,H,A,H,H,A,K,2.9,2,5,2,3.5,H,H,A,H,H,H,K
492,"Sarang, Jaywant",Kafi,2 (9am - 12pm),S - R - m - P - n - P - N - S',S' - n - P - m - G - R - g - R - S,R,P,"m - P, n - P - m G, R - g - R, 'n - 'P - R - S",Audav - Shadav,H,H,A,H,H,A,B,H,H,B,H,H,A,K,3.3077,2,5,2,3.5,H,H,B,H,H,A,B
46,"Bilawal, Jaij",Khamaaj,2 (9am - 12pm),"S - R - G - m - G - R, m - P - N - S'","S' - n - D - P - m - G - R, R - G - (m)R - S",R,P,"R - G - m - P, D - m - G - R, P - m - G - (m)R, G - R - S",Audav - Audav,H,H,H,H,H,A,H,H,H,H,H,H,H,K,3.1538,2,5,2,3.5,H,H,H,H,H,H,B
267,Khokhar,Khamaaj,2 (9am - 12pm),"S - R - P - m,  n - D - P, m - P - D - S'","S' - n - D - P,  D - n - P, m - G - R - g - R - S",R,P,,Sampoorna - Sampoorna,H,H,A,H,H,H,K,H,H,B,H,H,H,K,3.2143,2,5,2,3.5,H,H,B,H,H,H,K
159,"Sakh, Dev",Asavari,2 (9am - 12pm),S - m -  R -  (P)m - N - P - S',S' - n - P - m - P - (m)g - m - R - S,S,P,"N - S' - R - G - m - N - P - g - m - R - S, m - N - P - S' - n - P - G - m - P - g - m - R - S",Audav - Shadav,H,H,A,H,H,A,H,H,H,K,H,H,A,K,3.1818,2,1,2,1.5,H,H,K,H,H,A,B
180,"Todi, Lachari",Asavari,2 (9am - 12pm),"S - R - G - (R)G - m, m - P - (n)d - (n)d - P - S'","S', r' - n - D, (n)d - P, m - P - (m)g - (m)g, R - g - m - S",S,P,"S - R - G - (R)G - m, m - n - D - P, d - (P)m - P - (m)g - R",Sampoorna - Sampoorna,H,H,H,H,H,K,K,H,B,K,H,H,B,K,3.3125,2,1,2,1.5,H,B,B,H,H,B,K
8,"Asavari, Jogi",Bhairav,2 (9am - 12pm),S - r - m - P - d - S',"S' - R - n - d - P, d - P - m - G - (m)r - S - 'N - S",S,P,"mPd S' - R'n dP, mP dS'Ndp mP mG (m)r - S",Audav - Sampoorna,H,K,A,H,H,K,A,H,B,H,H,H,K,B,3.3571,2,1,2,1.5,H,B,H,H,H,K,B
525,Gunakali (Nishad Varjit),Bilawal,2 (9am - 12pm),S - G - P - D - P - S',S' - D - P - G - RGmR - 'D - S,S,P,D - G - P - G - RGmR - SR - 'D - S,Audav - Shadav,H,A,H,A,H,H,A,H,H,H,H,H,H,A,2.7,2,1,2,1.5,H,H,H,H,H,H,A
19,Barwa,Kafi,2 (9am - 12pm),S - R - m - P - N - S',S' - n - D - P - D - m - G - R - g - S,S,P,"G - R - g - S - N' - S, R - m - P - D - m - G - R - g - S",Audav - Sampoorna,H,H,A,H,H,A,H,H,H,B,H,H,H,K,3.2308,2,1,2,1.5,H,H,B,H,H,H,B
143,Marwa / Marava,Marwa,4 (3pm - 6pm),N - r - G - M - D - N - r' - S',S' - N - r' - N - D - M - G - r - S,r,D,r - D - M - G - r - 'N - 'D - r - S,Shadav - Shadav,H,K,H,T,A,H,H,H,K,H,T,A,H,H,4.5,4,6,4,5,H,K,H,T,A,H,H
94,"Kalyan, Puriya",Marwa,4 (3pm - 6pm),N - r - G - M - D - N - S',S' - N - D - P - M - G - r - S,G,N,MDND P - MG rGMG rS,Shadav - Sampoorna,H,K,H,T,A,H,H,H,K,H,T,H,H,H,4.3077,4,3,6,4.5,H,K,H,T,H,H,H
447,"Todi, Dev Gandhari",Todi,2 (9am - 12pm),S - R - 'n - S - R - G - m - P - d - m - P - D - n - S',S' - n - d - P - m - P - (m)g - r - S,S,P,R'n SRG m - RmP - dPm - PDnS' (n)dP mP (m)g rS,Sampoorna - Sampoorna,H,H,H,H,H,B,K,H,K,K,H,H,K,K,3.2,2,1,2,1.5,H,B,B,H,H,B,K
10,"Asavari, Sindhura",Asavari,2 (9am - 12pm),S - R - m - P - D - S',"S' - n - D - P, d - m - P - (m)g, R - m - m - g, S - R - S",S',P,"m - P - D - S', n - d - P, D - m - P - D - S'",Audav - Sampoorna,H,H,A,H,H,H,A,H,H,K,H,H,B,K,3.0769,2,1,2,1.5,H,H,K,H,H,B,K
357,"Chandrika, Uday",Asavari,2 (9am - 12pm),S - R - g - m - P - d - N - S',S' - d - P - m - R - S,d,R,,Sampoorna - Audav,H,H,K,H,H,K,H,H,H,A,H,H,K,A,3,2,3,5,4,H,H,K,H,H,K,H
368,"Prabha, Kumud",Poorvi,4 (3pm - 6pm),S - r - G - d - N - S',S' - P - M - G - 'N - S,G,N,,Audav - Audav,H,K,H,A,A,K,H,H,A,H,T,H,A,H,3.8,4,3,6,4.5,H,K,H,T,H,K,H
57,Desi,Asavari,2 (9am - 12pm),S - R - m - P -  n - S',S' - P - D - P - d - m - P - R - g - S - R - 'n - S,P,R,RmPnS'-P Dm P - dP - Rg SR 'nS,Audav - Sampoorna,H,H,A,H,H,A,K,H,H,K,H,H,B,K,3.1538,2,2,5,3.5,H,H,K,H,H,B,K
579,"Kalyan, Shubh",Khamaaj,2 (9am - 12pm),S - R - G - P - D - n - S',S' - n - D - P - G - P - (G)R - S,P,R,S - RG - P - nD P - GP (G)R - S,Shadav - Shadav,H,H,H,A,H,H,K,H,H,H,A,H,H,K,3.3333,2,2,5,3.5,H,H,H,A,H,H,K
71,Gyankali,Bhairavi,2 (9am - 12pm),S - r - m - d - n - S',S' - n - d - m - r - S,m,S,r - m - d - n - d - m - r - S,Audav - Audav,H,K,A,H,A,K,K,H,K,A,H,A,K,K,3.4,2,2,1,1.5,H,K,A,H,A,K,K
277,"Bilawal, Nat",Bilawal,2 (9am - 12pm),"S - G - m, P - m - G, M - P - D - N - S'","S' - N - D - n - P, m - G, m - R - S",m,S,,Shadav - Sampoorna,H,A,H,B,H,H,H,H,H,H,H,H,H,B,3.5333,2,2,1,1.5,H,H,H,B,H,H,B
378,"Maand, Asa",Bilawal,2 (9am - 12pm),S - R - m - P - D - S',S' - N - D - P - m - G - R - S,m,S,D - S - R - m - G - R - S - 'N - 'D,Shadav - Sampoorna,H,H,A,H,H,H,A,H,H,H,H,H,H,H,3.0833,2,2,1,1.5,H,H,H,H,H,H,H
5,"Manohari, Amba",Kafi,2 (9am - 12pm),S - R - g - m - D - N - S',S' - N - D - m - g - R - S,m,S,m - g - R - 'N - S - 'D - 'N - S,Shadav - Shadav,H,H,K,H,A,H,H,H,H,K,H,A,H,H,3.6667,2,2,1,1.5,H,H,K,H,A,H,H
127,Malagunji,Kafi,2 (9am - 12pm),S - R - G - m - D - N - S',"S' - n - D - P - m - G, m - g - R - S",m,S,G - m - g - R - S - 'N - S - 'D - 'n - S - G - m,Shadav - Sampoorna,H,H,H,H,A,H,H,H,H,B,H,H,H,K,3.3571,2,2,1,1.5,H,H,B,H,H,H,B
512,"Todi, Ahiri",Todi,2 (9am - 12pm),S - r - g - m - P - D - n - S',S' - n - D - P - m - g - r - S,m,S,"S - r - g - r - S, n. - D. - n. - r - S",Vakra,H,K,K,H,H,H,K,H,K,K,H,H,H,K,3.4286,2,2,1,1.5,H,K,K,H,H,H,K
513,Ram Priya,Todi,2 (9am - 12pm),S - r - G - m - P - n - S',S' - n - P - m - G - m - g - r - S,m,S,P - n - P - m - G - m - g - r - g - r - S,Shadav - Shadav,H,K,H,H,H,A,K,H,K,B,H,H,A,K,3.2308,2,2,1,1.5,H,K,B,H,H,A,K
7,Asavari,Asavari,2 (9am - 12pm),S - R - m - P - d - S',S' - n - d - P - m - g - R - S,P,S,"RmP S' (n)d P, mP g RS",Audav - Sampoorna,H,H,A,H,H,K,A,H,H,K,H,H,K,K,2.9167,2,2,1,1.5,H,H,K,H,H,K,K
119,Khat,Asavari,2 (9am - 12pm),"R - 'n - S - (m)g, m - P, (n)d - n - S'","R' - S' - n - D - P, (n)m - P - (m)g - m - R - S",P,S,"R - 'n - S (m)g, m - P, (n)d - (n)D - n - P, S' - n - D - P",Sampoorna - Sampoorna,H,H,K,H,H,K,K,H,H,K,H,H,H,K,3.2143,2,2,1,1.5,H,H,K,H,H,B,K
253,Abheri,Asavari,2 (9am - 12pm),S - g - m - P - n - S',S' - n - d - P - m - g - R - S,P,S,g - m - P - S' - n - d - P,Audav - Sampoorna,H,A,K,H,H,A,K,H,H,K,H,H,K,K,3,2,2,1,1.5,H,H,K,H,H,K,K
254,"Desi, Komal",Asavari,2 (9am - 12pm),S - R - m - P - (n) S',S' - nS' - P - dP - Rg - SR - 'nS,P,S,PnS' P - dP Rg SR 'nS,Audav - Sampoorna,H,H,A,H,H,A,K,H,H,K,A,H,K,K,3.1818,2,2,1,1.5,H,H,K,H,H,K,K
210,"Varali, Salag / Salag Varali",Todi,2 (9am - 12pm),S - r - g - P - D - n - S',S' - n - D - P - g - r - S,P,S,Sr 'n-Sr g - Pdn dP rgr - S,Shadav - Shadav,H,K,K,A,H,H,K,H,K,K,A,H,H,K,3.6667,2,2,1,1.5,H,K,K,A,H,H,K
304,"Todi, Anjani",Todi,2 (9am - 12pm),S - R - m - P - n - d - N - S',S' - n - D - P - g - R - S,P,S,,Shadav - Shadav,H,H,A,H,H,K,B,H,H,K,A,H,H,K,3.4615,2,2,1,1.5,H,H,K,H,H,B,B
21,Basant Mukhari / Komal Bhairav,,2 (9am - 12pm),S - r - G - m - P - d - n - S',S' - n - d - P - m - G - r - S,P,S,"P - d - n - d - P, G - m - (G) r - S",Sampoorna - Sampoorna,H,K,H,H,H,K,K,H,K,H,H,H,K,K,3.1429,2,2,1,1.5,H,K,H,H,H,K,K
54,Charukeshi,,2 (9am - 12pm),S - R - G - m - P - d - n - S',S' - n - d - P - m - G - R - S,P,S,R 'nS-R G-m - Pdnd mP Gm R-S,Sampoorna - Sampoorna,H,H,H,H,H,K,K,H,H,H,H,H,K,K,3,2,2,1,1.5,H,H,H,H,H,K,K
519,"Kalyan, Sawani",Bilawal,2 (9am - 12pm),S - G - m - P -  N - S',S' - N - S' - P - mP - GmP - mP - G - RS,S,S,S - G - mP - GmD - P - m - GmP m - P - G - RS,Audav - Sampoorna,H,A,H,H,H,A,H,H,H,H,H,H,A,H,3,2,1,1,1,H,H,H,H,H,A,H
444,"Bhairavi, Nat",Asavari,2 (9am - 12pm),S - R - m - P - d - n - S',S' - n - d - P - m - g - R - S,P,S',not specific,Audav - Sampoorna,H,H,A,H,H,K,K,H,H,K,H,H,K,K,3.0769,2,2,1,1.5,H,H,K,H,H,K,K
578,Des Jogi,Bhairav,2 (9am - 12pm),N S R m G R - m P d N S',NS' R' n DP mP DP m GR mP dP mG r S,P,S',rmP d dS' - NS' R'n DP mP dP mG rS,Mishra/Sankeerna,H,H,H,H,H,K,H,H,B,H,H,H,B,B,3.4706,2,2,1,1.5,H,B,H,H,H,B,B
586,"Bhairav, Jaun / Jaun Bhairav",Bhairav,2 (9am - 12pm),S - r - G - m - P - R - m - P - G - m - d - N - S',S' - n - R'S' g'R' S' - n - d - P - G - m - r - S,P,S',GmdNS' - nR'S' g'R'S' nS' dP - Gmrs,Mishra/Sankeerna,H,B,H,H,H,K,H,H,B,B,H,H,K,K,3.4706,2,2,1,1.5,H,B,B,H,H,K,B
540,Shankara Sharan,Kalyan,2 (9am - 12pm),"S - m - G - P - M - P, G - P N - D - N - S'",S' - N - (D)P - MP - m - GP RG RS,P,S',GP ND S'N - (D)P MPDP m - mGP - RG RS,Vakra,H,A,H,B,H,H,H,H,H,H,B,H,H,H,3.6667,2,2,1,1.5,H,H,H,B,H,H,H
255,Kripavati,Asavari,2 (9am - 12pm),S - R - g - P - d - S',S' - n - d - P - d - m - g - R - S,,,,Audav - Sampoorna,H,H,K,A,H,K,A,H,H,K,H,H,K,K,3.0833,2,0,0,0,H,H,K,H,H,K,K
256,Sameri,Asavari,2 (9am - 12pm),S - R - m - P - n - S',S' - n - d - P - m - g - R - S,,,,Audav - Sampoorna,H,H,A,H,H,A,K,H,H,K,H,H,K,K,3.0833,2,0,0,0,H,H,K,H,H,K,K
161,"Sarang, Gaud",Kalyan,3 (12pm - 3pm),N - S - G - R - m - G - P - M - D - P - N - D - S',S' - D - P - M - P - G - m - RGRm G - P - R - S,G,D,G - R - m - G - P - R - S,Sampoorna - Sampoorna,H,H,H,B,H,H,H,H,H,H,B,H,H,A,3.6,3,3,4,3.5,H,H,H,B,H,H,H
527,Din Ki Puriya,Poorvi,4 (3pm - 6pm),N - r - G - M - d - N - S',S' - r' - N - d - M - G - r - S,G,N,G - M - d - r' - N - (d)M - G - M - G - r - S,Audav - Shadav,H,K,H,T,A,K,H,H,K,H,T,A,K,H,4.3333,4,3,6,4.5,H,K,H,T,A,K,H
152,Patdipaki,Kafi,3 (12pm - 3pm),S - G - m - P - N - S',S' - N - S' - D - P - n - D - P - m - G - R - S - R - m - g - R - S,S,m,mPNS' DP - nDP - mG - SGmP Gm-RS mgRS,Audav - Sampoorna,H,A,H,H,H,A,H,H,H,B,H,H,H,B,3.2857,3,1,2,1.5,H,H,B,H,H,H,B
431,Madhsurja,,3 (12pm - 3pm),S - R - m - P - n - S',S' - n - M - m - P - m - r - S,m,N,"S, R - m - P - n, P - n - S' - r - S' - n",Audav - Audav,H,H,A,H,H,A,K,H,K,A,B,H,A,K,3.4545,3,2,6,4,H,B,A,B,H,A,K
320,"Mohini, Chitta",Bilawal,3 (12pm - 3pm),"S, R - G - m - P, D - N - S'","S', N - P, m - R, S",R,P,,Sampoorna - Audav,H,H,H,H,H,H,H,H,H,A,H,H,A,H,3.25,3,5,2,3.5,H,H,H,H,H,H,H
162,"Sarang, Lankadahan",Kafi,3 (12pm - 3pm),"S - R - m - P, n - P, N - S'","S' - D - n - P, m - P - (m)g - (m)g - m - R - S",R,P,"S' - D - n - P, (m)g - m - R - S",Audav - Sampoorna,H,H,A,H,H,A,B,H,H,K,H,H,H,K,3.3846,3,5,2,3.5,H,H,K,H,H,H,B
165,"Sarang, Shuddha",Kafi,3 (12pm - 3pm),N - S - R - M - P - N - S',S' - N - D - P - M - P - m - R - 'N - S,R,P,RMP (m)RmR S'N - 'P'N 'DS 'NR S,Audav - Shadav,H,H,A,T,H,A,H,H,H,A,B,H,H,H,4,3,5,2,3.5,H,H,A,B,H,H,H
166,"Sarang, Vrindavani",Kafi,3 (12pm - 3pm),N - S - R - m - P - N - S',S' - n - P - m - R - 'N - S,R,P,"nP - mR, mR - 'NS",Audav - Audav,H,H,A,H,H,A,H,H,H,A,H,H,A,B,3.3636,3,5,2,3.5,H,H,A,H,H,A,B
472,"Sarang, Saraswati",Kafi,3 (12pm - 3pm),"S - R, M - P, D - n - D - S'","S' - n - D - P, M - P - m - R - S",R,P,"M - P - D - n - D P, M - P - m - R - S",Shadav - Shadav,H,H,A,T,H,H,K,H,H,A,B,H,H,K,3.8462,3,5,2,3.5,H,H,A,B,H,H,K
160,"Sarang, Badhans",Khamaaj,3 (12pm - 3pm),"S - R - m, R - m - P, N - S'","S - n - P - m - (D)P - m - R, R - 'N - S",R,P,"S - R - m, n - P - m - R - m, 'N - R - S",Audav - Shadav,H,H,A,H,H,A,H,H,H,A,H,H,H,B,3.4167,3,5,2,3.5,H,H,A,H,H,H,B
164,"Sarang, Samant",Khamaaj,3 (12pm - 3pm),S - R - m - P - N - S',"S' - n - D - P - m - R, m - R - 'N - S",R,P,"R - M - P - n - D - P, m - R",Audav - Shadav,H,H,A,H,H,A,H,H,H,A,H,H,H,B,3.4167,3,5,2,3.5,H,H,A,H,H,H,B
35,Bhim,Kafi,3 (12pm - 3pm),S - G - m - P - (S')n - S',g' - R' - S' - n - S' - n - D - mP - G - R - S,S,P,n - S' - g' - R' - S' - n - (P)D - mP - G - R - S,Audav - Sampoorna,H,A,H,H,H,A,K,H,H,B,H,H,H,K,3,3,1,2,1.5,H,H,B,H,H,H,K
473,Patmanjiri (Kafi Thaat Ki),Kafi,3 (12pm - 3pm),S - R - g - m - P - n - S',S' - n - D - P - m - g - R - S,S,P,"S - 'n - 'D - 'P, S - 'n - S - R - g - R - S, R - m - P, m - P - D - g - R - g - m - g - R - S, m - P - n - D - P, n - S'",Shadav - Sampoorna,H,H,K,H,H,A,K,H,H,K,H,H,H,K,3.2308,3,1,2,1.5,H,H,K,H,H,H,K
415,Kamodvanti,Khamaaj,3 (12pm - 3pm),S m R P - PDP S',S' D n D P - m G R - RgR - GmP Gm R S,S,P,S m R P - m G R - RgR - GmP Gm R S,Mishra/Sankeerna,H,H,A,H,H,H,A,H,H,B,H,H,H,K,3.0769,3,1,2,1.5,H,H,B,H,H,H,K
565,"Sarang, Shuddha (Do Nishad Ka)",Kafi,3 (12pm - 3pm),N - S - R - M - P - N - S',S' - n - P - DP - MP - RmR - m - R - 'N - S,P,R,MP NS' PnP mR MP,Audav - Shadav,H,H,A,T,H,A,H,H,H,A,B,H,H,B,4.0769,3,2,5,3.5,H,H,A,B,H,H,B
469,Vijay Nagari,,3 (12pm - 3pm),S - R - g - M - P - D - S',S' - D - P - M - g - R - S,P,R,R - g - P - M - D - P - D - S',Shadav - Shadav,H,H,K,T,H,H,A,H,H,K,T,H,H,A,3.8333,3,2,5,3.5,H,H,K,T,H,H,A
590,"Bahar, Jaun / Gandhari Bahar",Asavari,3 (12pm - 3pm),S - R - m - P - d - m - P - g - m - n - D - N - S',S' - nR'S' - g'R' nS' - d - P m - n - D - n - P - m - P - g - R - S,m,S,RmPS' (n)dP - mnDNS',Mishra/Sankeerna,H,H,K,H,H,B,B,H,H,K,H,H,B,K,3.4118,3,2,1,1.5,H,H,K,H,H,B,B
602,Dhakkaa / Komal Bhimapalasi,Bhairavi,3 (12pm - 3pm),n - S - g - m - P - n - S',S' - n - D - P - m - g - r - S,m,S,gmP (m)g-rS - r 'nS m-,Audav - Sampoorna,H,A,K,H,H,A,K,H,K,K,H,H,H,K,3.1667,3,2,1,1.5,H,K,K,H,H,H,K
507,Pradeepki,Kafi,3 (12pm - 3pm),S - G - m - P - N - S',S' - n - D - P -  m - g - R - S,m,S,G - m - Pn - DP - mP - g - mg - R - S,Audav - Sampoorna,H,A,H,H,H,A,H,H,H,K,H,H,H,K,3.0833,3,2,1,1.5,H,H,B,H,H,H,B
445,"Basant, Dakshinatya",,3 (12pm - 3pm),S - G - m - D - N - S',S' - N - D - m - G - r - S,m,S,"G - m - D - S' - N - D - m - G, m - G - r - S - m",Audav - Shadav,H,A,H,H,A,H,H,H,K,H,H,A,H,H,3.4545,3,2,1,1.5,H,K,H,H,A,H,H
532,Dhanashree (Bhairavi Ang),Bhairavi,3 (12pm - 3pm),n - S - g - m - P - n - S',S' - n - d - P - m - P - g - m - g - r - S,P,S,g - m - P - n - d - P - m - P - g - r - S,Audav - Sampoorna,H,A,K,H,H,A,K,H,K,K,H,H,K,K,3.0833,3,2,1,1.5,H,K,K,H,H,K,K
